code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
1177,中国生物制药,1000,STOCK,,,,,,,2003-12-08,53227529700505,False,,False,,HK_MAINBOARD
1179,华住集团-S,100,STOCK,,,,,,,2020-09-22,79521319486619,False,,False,,HK_MAINBOARD
1193,华润燃气,100,STOCK,,,,,,,1994-11-07,38976828212393,False,,False,,HK_MAINBOARD
1209,华润万象生活,200,STOCK,,,,,,,2020-12-09,79843442033849,False,,False,,HK_MAINBOARD
1299,友邦保险,200,STOCK,,,,,,,2010-10-29,64037962384659,False,,False,,HK_MAINBOARD
1308,海丰国际,1000,STOCK,,,,,,,2010-10-06,63939178136860,False,,False,,HK_MAINBOARD
1378,中国宏桥,500,STOCK,,,,,,,2011-03-24,64665027609954,False,,False,,HK_MAINBOARD
1548,金斯瑞生物科技,2000,STOCK,,,,,,,2015-12-30,1548,False,,False,,HK_MAINBOARD
1801,信达生物,500,STOCK,,,,,,,2018-10-31,76540612183817,False,,False,,HK_MAINBOARD
1810,小米集团-W,200,STOCK,,,,,,,2018-07-09,76033806042898,False,,False,,HK_MAINBOARD
1821,ESR,200,STOCK,,,,,,,2019-11-01,77532749629213,False,,False,,HK_MAINBOARD
1876,百威亚太,100,STOCK,,,,,,,2019-09-30,77644418778964,False,,False,,HK_MAINBOARD
1913,普拉达,100,STOCK,,,,,,,2011-06-24,65060164601721,False,,False,,HK_MAINBOARD
1928,金沙中国有限公司,400,STOCK,,,,,,,2009-11-30,62607738275720,False,,False,,HK_MAINBOARD
1929,周大福,200,STOCK,,,,,,,2011-12-15,65807488911241,False,,False,,HK_MAINBOARD
1972,太古地产,200,STOCK,,,,,,,2012-01-18,65953517799348,False,,False,,HK_MAINBOARD
1997,九龙仓置业,1000,STOCK,,,,,,,2017-11-23,75067438401485,False,,False,,HK_MAINBOARD
2007,碧桂园,1000,STOCK,,,,,,,2007-04-20,58506044508119,False,,False,,HK_MAINBOARD
2015,理想汽车-W,100,STOCK,,,,,,,2021-08-12,80921478825951,False,,False,,HK_MAINBOARD
2020,安踏体育,200,STOCK,,,,,,,2007-07-10,58853936859108,False,,False,,HK_MAINBOARD
2057,中通快递-W,50,STOCK,,,,,,,2020-09-29,79547089291273,False,,False,,HK_MAINBOARD
2269,药明生物,500,STOCK,,,,,,,2017-06-13,74371653699805,False,,False,,HK_MAINBOARD
2313,申洲国际,100,STOCK,,,,,,,2005-11-24,56307021252873,False,,False,,HK_MAINBOARD
2319,蒙牛乳业,1000,STOCK,,,,,,,2004-06-10,54022098651407,False,,False,,HK_MAINBOARD
2328,中国财险,2000,STOCK,,,,,,,2003-11-06,53090090748184,False,,False,,HK_MAINBOARD
2331,李宁,500,STOCK,,,,,,,2004-06-28,54099408062747,False,,False,,HK_MAINBOARD
2382,舜宇光学科技,100,STOCK,,,,,,,2007-06-15,58746562677070,False,,False,,HK_MAINBOARD
2388,中银香港,500,STOCK,,,,,,,2002-07-25,51075751086420,False,,False,,HK_MAINBOARD
2618,京东物流,100,STOCK,,,,,,,2021-05-28,80586471377466,False,,False,,HK_MAINBOARD
2688,新奥能源,100,STOCK,,,,,,,2002-06-03,50852412787328,False,,False,,HK_MAINBOARD
3323,中国建材,2000,STOCK,,,,,,,2006-03-23,56818122362107,False,,False,,HK_MAINBOARD
3690,美团-W,100,STOCK,,,,,,,2018-09-20,76364518526570,False,,False,,HK_MAINBOARD
3692,翰森制药,2000,STOCK,,,,,,,2019-06-14,77506979827308,False,,False,,HK_MAINBOARD
3800,协鑫科技,1000,STOCK,,,,,,,2007-11-13,59395102740184,False,,False,,HK_MAINBOARD
6098,碧桂园服务,1000,STOCK,,,,,,,2018-06-19,75965086570450,False,,False,,HK_MAINBOARD
6186,中国飞鹤,1000,STOCK,,,,,,,2019-11-13,78159814858794,False,,False,,HK_MAINBOARD
6618,京东健康,50,STOCK,,,,,,,2020-12-08,79843442039258,False,,False,,HK_MAINBOARD
6823,香港电讯-SS,1000,STOCK,,,,,,,2011-11-29,65738769439399,False,,False,,HK_MAINBOARD
6862,海底捞,1000,STOCK,,,,,,,2018-09-26,76385993366222,False,,False,,HK_MAINBOARD
6969,思摩尔国际,1000,STOCK,,,,,,,2020-07-10,79203491912505,False,,False,,HK_MAINBOARD
9618,京东集团-SW,50,STOCK,,,,,,,2020-06-18,79100412700050,False,,False,,HK_MAINBOARD
9633,农夫山泉,200,STOCK,,,,,,,2020-09-08,79448305051041,False,,False,,HK_MAINBOARD
9961,携程集团-S,50,STOCK,,,,,,,2021-04-19,80418967660265,False,,False,,HK_MAINBOARD
9888,百度集团-SW,50,STOCK,N/A,,N/A,,N/A,N/A,2021-03-23,80303003543200,False,N/A,False,,HK_MAINBOARD
9626,哔哩哔哩-W,20,STOCK,N/A,,N/A,,N/A,N/A,2021-03-29,80328773346714,False,N/A,False,,HK_MAINBOARD
2333,长城汽车,500,STOCK,N/A,,N/A,,N/A,N/A,2003-12-15,53257594472733,False,N/A,False,,HK_MAINBOARD
9868,小鹏汽车-W,100,STOCK,N/A,,N/A,,N/A,N/A,2021-07-07,80753975109260,False,N/A,False,,HK_MAINBOARD
2318,中国平安,500,STOCK,N/A,,N/A,,N/A,N/A,2004-06-24,54082228193550,False,N/A,False,,HK_MAINBOARD
0939,建设银行,1000,STOCK,N/A,,N/A,,N/A,N/A,2005-10-27,56186762167211,False,N/A,False,,HK_MAINBOARD
